0,1,2,3,4
너,NP,1,800,"('너', 'NP')"
나,NP,2,734,"('나', 'NP')"
사랑,NNG,3,487,"('사랑', 'NNG')"
I,SL,4,409,"('I', 'SL')"
없,VA,5,363,"('없', 'VA')"
you,SL,6,298,"('you', 'SL')"
말,NNG,7,298,"('말', 'NNG')"
날,NNG,8,268,"('날', 'NNG')"
더,MAG,9,260,"('더', 'MAG')"
내,NP,10,227,"('내', 'NP')"
같,VA,11,211,"('같', 'VA')"
그대,NP,12,194,"('그대', 'NP')"
me,SL,13,193,"('me', 'SL')"
우리,NP,14,185,"('우리', 'NP')"
the,SL,15,183,"('the', 'SL')"
하,VV,16,169,"('하', 'VV')"
또,MAG,17,166,"('또', 'MAG')"
밤,NNG,18,158,"('밤', 'NNG')"
때,NNG,19,150,"('때', 'NNG')"
있,VV,20,146,"('있', 'VV')"
oh,SL,21,140,"('oh', 'SL')"
맘,NNG,22,140,"('맘', 'NNG')"
다시,MAG,23,140,"('다시', 'MAG')"
다,MAG,24,134,"('다', 'MAG')"
my,SL,25,130,"('my', 'SL')"
마음,NNG,26,124,"('마음', 'NNG')"
사람,NNG,27,123,"('사람', 'NNG')"
보,VV,28,123,"('보', 'VV')"
눈,NNG,29,122,"('눈', 'NNG')"
it,SL,30,116,"('it', 'SL')"
좋,VA,31,115,"('좋', 'VA')"
t,SL,32,113,"('t', 'SL')"
da,SL,33,112,"('da', 'SL')"
m,SL,34,111,"('m', 'SL')"
안,MAG,35,110,"('안', 'MAG')"
생각,NNG,36,109,"('생각', 'NNG')"
속,NNG,37,107,"('속', 'NNG')"
시간,NNG,38,100,"('시간', 'NNG')"
네,NP,39,99,"('네', 'NP')"
a,SL,40,97,"('a', 'SL')"
순간,NNG,41,97,"('순간', 'NNG')"
기억,NNG,42,92,"('기억', 'NNG')"
되,VV,43,92,"('되', 'VV')"
함께,MAG,44,91,"('함께', 'MAG')"
끝,NNG,45,90,"('끝', 'NNG')"
못,MAG,46,89,"('못', 'MAG')"
yeah,SL,47,88,"('yeah', 'SL')"
살,VV,48,88,"('살', 'VV')"
하루,NNG,49,87,"('하루', 'NNG')"
행복,NNG,50,87,"('행복', 'NNG')"
You,SL,51,86,"('You', 'SL')"
잘,MAG,52,86,"('잘', 'MAG')"
알,VV,53,85,"('알', 'VV')"
너무,MAG,54,82,"('너무', 'MAG')"
세상,NNG,55,81,"('세상', 'NNG')"
like,SL,56,80,"('like', 'SL')"
잊,VV,57,80,"('잊', 'VV')"
Oh,SL,58,78,"('Oh', 'SL')"
이렇게,MAG,59,78,"('이렇게', 'MAG')"
s,SL,60,77,"('s', 'SL')"
웃,VV,61,76,"('웃', 'VV')"
꿈,NNG,62,75,"('꿈', 'NNG')"
na,SL,63,73,"('na', 'SL')"
곁,NNG,64,72,"('곁', 'NNG')"
Yeah,SL,65,71,"('Yeah', 'SL')"
and,SL,66,70,"('and', 'SL')"
하나,NR,67,70,"('하나', 'NR')"
ah,SL,68,69,"('ah', 'SL')"
that,SL,69,68,"('that', 'SL')"
to,SL,70,67,"('to', 'SL')"
on,SL,71,67,"('on', 'SL')"
지금,MAG,72,67,"('지금', 'MAG')"
in,SL,73,65,"('in', 'SL')"
love,SL,74,64,"('love', 'SL')"
My,SL,75,64,"('My', 'SL')"
ya,SL,76,63,"('ya', 'SL')"
Rollin,SL,77,61,"('Rollin', 'SL')"
울,VV,78,61,"('울', 'VV')"
이유,NNG,79,61,"('이유', 'NNG')"
있,VA,80,59,"('있', 'VA')"
손,NNG,81,59,"('손', 'NNG')"
가,VV,82,59,"('가', 'VV')"
일,NNG,83,59,"('일', 'NNG')"
we,SL,84,58,"('we', 'SL')"
are,SL,85,58,"('are', 'SL')"
길,NNG,86,57,"('길', 'NNG')"
없이,MAG,87,56,"('없이', 'MAG')"
안,VV,88,55,"('안', 'VV')"
아직,MAG,89,54,"('아직', 'MAG')"
기다리,VV,90,53,"('기다리', 'VV')"
늘,MAG,91,52,"('늘', 'MAG')"
눈물,NNG,92,52,"('눈물', 'NNG')"
왜,MAG,93,52,"('왜', 'MAG')"
eh,SL,94,52,"('eh', 'SL')"
이제,MAG,95,52,"('이제', 'MAG')"
We,SL,96,51,"('We', 'SL')"
위,NNG,97,51,"('위', 'NNG')"
괜찮,VA,98,51,"('괜찮', 'VA')"
빛나,VV,99,51,"('빛나', 'VV')"
남,VV,100,50,"('남', 'VV')"
can,SL,101,49,"('can', 'SL')"
하늘,NNG,102,49,"('하늘', 'NNG')"
찾,VV,103,49,"('찾', 'VV')"
Dun,SL,104,48,"('Dun', 'SL')"
매일,MAG,105,47,"('매일', 'MAG')"
오늘,NNG,106,47,"('오늘', 'NNG')"
조금,MAG,107,47,"('조금', 'MAG')"
그냥,MAG,108,47,"('그냥', 'MAG')"
가슴,NNG,109,46,"('가슴', 'NNG')"
오,VV,110,46,"('오', 'VV')"
up,SL,111,45,"('up', 'SL')"
빛,NNG,112,45,"('빛', 'NNG')"
꼭,MAG,113,45,"('꼭', 'MAG')"
어디,NP,114,44,"('어디', 'NP')"
know,SL,115,43,"('know', 'SL')"
가득,MAG,116,43,"('가득', 'MAG')"
작,VA,117,43,"('작', 'VA')"
want,SL,118,43,"('want', 'SL')"
잠,NNG,119,43,"('잠', 'NNG')"
상상,NNG,120,42,"('상상', 'NNG')"
이별,NNG,121,42,"('이별', 'NNG')"
그날,NNG,122,42,"('그날', 'NNG')"
서로,NNG,123,42,"('서로', 'NNG')"
지금,NNG,124,42,"('지금', 'NNG')"
얘기,NNG,125,41,"('얘기', 'NNG')"
별,NNG,126,41,"('별', 'NNG')"
with,SL,127,40,"('with', 'SL')"
Don,SL,128,40,"('Don', 'SL')"
Just,SL,129,40,"('Just', 'SL')"
re,SL,130,40,"('re', 'SL')"
둘,NR,131,40,"('둘', 'NR')"
여기,NP,132,40,"('여기', 'NP')"
call,SL,133,40,"('call', 'SL')"
just,SL,134,39,"('just', 'SL')"
좀,MAG,135,39,"('좀', 'MAG')"
It,SL,136,39,"('It', 'SL')"
그때,NNG,137,39,"('그때', 'NNG')"
걷,VV,138,39,"('걷', 'VV')"
숨,NNG,139,39,"('숨', 'NNG')"
들,VV,140,39,"('들', 'VV')"
아프,VA,141,39,"('아프', 'VA')"
미안,NNG,142,39,"('미안', 'NNG')"
믿,VV,143,39,"('믿', 'VV')"
baby,SL,144,38,"('baby', 'SL')"
is,SL,145,38,"('is', 'SL')"
잡,VV,146,38,"('잡', 'VV')"
가끔,MAG,147,38,"('가끔', 'MAG')"
항상,MAG,148,38,"('항상', 'MAG')"
그저,MAG,149,37,"('그저', 'MAG')"
감,VV,150,37,"('감', 'VV')"
니,NP,151,37,"('니', 'NP')"
깊,VA,152,36,"('깊', 'VA')"
la,SL,153,36,"('la', 'SL')"
언제,NP,154,36,"('언제', 'NP')"
자꾸,MAG,155,36,"('자꾸', 'MAG')"
모습,NNG,156,36,"('모습', 'NNG')"
바람,NNG,157,36,"('바람', 'NNG')"
힘들,VA,158,36,"('힘들', 'VA')"
참,MAG,159,36,"('참', 'MAG')"
추억,NNG,160,36,"('추억', 'NNG')"
now,SL,161,36,"('now', 'SL')"
정말,MAG,162,36,"('정말', 'MAG')"
당신,NP,163,36,"('당신', 'NP')"
사이,NNG,164,35,"('사이', 'NNG')"
떠나,VV,165,35,"('떠나', 'VV')"
만나,VV,166,35,"('만나', 'VV')"
많이,MAG,167,35,"('많이', 'MAG')"
처음,NNG,168,34,"('처음', 'NNG')"
오늘,MAG,169,34,"('오늘', 'MAG')"
봄,NNG,170,34,"('봄', 'NNG')"
ma,SL,171,34,"('ma', 'SL')"
what,SL,172,34,"('what', 'SL')"
소중,XR,173,34,"('소중', 'XR')"
삶,NNG,174,34,"('삶', 'NNG')"
be,SL,175,33,"('be', 'SL')"
멀리,MAG,176,33,"('멀리', 'MAG')"
멀,VA,177,33,"('멀', 'VA')"
품,NNG,178,33,"('품', 'NNG')"
at,SL,179,33,"('at', 'SL')"
Ma,SL,180,33,"('Ma', 'SL')"
앞,NNG,181,33,"('앞', 'NNG')"
모두,MAG,182,32,"('모두', 'MAG')"
뒤,NNG,183,32,"('뒤', 'NNG')"
모르,VV,184,32,"('모르', 'VV')"
부르,VV,185,32,"('부르', 'VV')"
그렇게,MAG,186,32,"('그렇게', 'MAG')"
어떻게,MAG,187,32,"('어떻게', 'MAG')"
안,NNG,188,31,"('안', 'NNG')"
어둠,NNG,189,31,"('어둠', 'NNG')"
뭐,NP,190,31,"('뭐', 'NP')"
바보,NNG,191,31,"('바보', 'NNG')"
your,SL,192,30,"('your', 'SL')"
so,SL,193,30,"('so', 'SL')"
no,SL,194,30,"('no', 'SL')"
don,SL,195,30,"('don', 'SL')"
곳,NNG,196,30,"('곳', 'NNG')"
babe,SL,197,30,"('babe', 'SL')"
노래,NNG,198,30,"('노래', 'NNG')"
So,SL,199,30,"('So', 'SL')"
life,SL,200,30,"('life', 'SL')"
나나,NNG,201,30,"('나나', 'NNG')"
아주,MAG,202,30,"('아주', 'MAG')"
영원히,MAG,203,29,"('영원히', 'MAG')"
영원,NNG,204,29,"('영원', 'NNG')"
가장,MAG,205,28,"('가장', 'MAG')"
목소리,NNG,206,28,"('목소리', 'NNG')"
아,VV,207,28,"('아', 'VV')"
Hey,SL,208,28,"('Hey', 'SL')"
보이,VV,209,28,"('보이', 'VV')"
서로,MAG,210,28,"('서로', 'MAG')"
down,SL,211,27,"('down', 'SL')"
good,SL,212,27,"('good', 'SL')"
누구,NP,213,27,"('누구', 'NP')"
light,SL,214,27,"('light', 'SL')"
겨울,NNG,215,27,"('겨울', 'NNG')"
이름,NNG,216,27,"('이름', 'NNG')"
혼자,NNG,217,27,"('혼자', 'NNG')"
VVS,SL,218,27,"('VVS', 'SL')"
got,SL,219,26,"('got', 'SL')"
stop,SL,220,26,"('stop', 'SL')"
설레,VV,221,26,"('설레', 'VV')"
얼마나,MAG,222,26,"('얼마나', 'MAG')"
심장,NNG,223,26,"('심장', 'NNG')"
혼자,MAG,224,26,"('혼자', 'MAG')"
거리,NNG,225,26,"('거리', 'NNG')"
여전히,MAG,226,26,"('여전히', 'MAG')"
look,SL,227,25,"('look', 'SL')"
아래,NNG,228,25,"('아래', 'NNG')"
wanna,SL,229,25,"('wanna', 'SL')"
대여,NNG,230,25,"('대여', 'NNG')"
후회,NNG,231,25,"('후회', 'NNG')"
e,SL,232,25,"('e', 'SL')"
시작,NNG,233,25,"('시작', 'NNG')"
time,SL,234,25,"('time', 'SL')"
쉬,VV,235,25,"('쉬', 'VV')"
오직,MAG,236,25,"('오직', 'MAG')"
많,VA,237,25,"('많', 'VA')"
집,NNG,238,25,"('집', 'NNG')"
get,SL,239,24,"('get', 'SL')"
Dance,SL,240,24,"('Dance', 'SL')"
받,VV,241,24,"('받', 'VV')"
이미,MAG,242,24,"('이미', 'MAG')"
전,NNG,243,24,"('전', 'NNG')"
아침,NNG,244,24,"('아침', 'NNG')"
살아가,VV,245,24,"('살아가', 'VV')"
흔들,VV,246,24,"('흔들', 'VV')"
tell,SL,247,24,"('tell', 'SL')"
this,SL,248,23,"('this', 'SL')"
눈빛,NNG,249,23,"('눈빛', 'NNG')"
Ooh,SL,250,23,"('Ooh', 'SL')"
언제나,MAG,251,23,"('언제나', 'MAG')"
계절,NNG,252,23,"('계절', 'NNG')"
all,SL,253,22,"('all', 'SL')"
go,SL,254,22,"('go', 'SL')"
이상,NNG,255,22,"('이상', 'NNG')"
닿,VV,256,22,"('닿', 'VV')"
참,VV,257,22,"('참', 'VV')"
바다,NNG,258,22,"('바다', 'NNG')"
boom,SL,259,22,"('boom', 'SL')"
제발,MAG,260,22,"('제발', 'MAG')"
right,SL,261,21,"('right', 'SL')"
가까이,MAG,262,21,"('가까이', 'MAG')"
놓,VV,263,21,"('놓', 'VV')"
잃,VV,264,21,"('잃', 'VV')"
처음,MAG,265,21,"('처음', 'MAG')"
for,SL,266,21,"('for', 'SL')"
마지막,NNG,267,21,"('마지막', 'NNG')"
싫,VA,268,21,"('싫', 'VA')"
woo,SL,269,21,"('woo', 'SL')"
소리,NNG,270,21,"('소리', 'NNG')"
보내,VV,271,21,"('보내', 'VV')"
이제,NNG,272,21,"('이제', 'NNG')"
If,SL,273,21,"('If', 'SL')"
here,SL,274,21,"('here', 'SL')"
얼굴,NNG,275,21,"('얼굴', 'NNG')"
전부,NNG,276,21,"('전부', 'NNG')"
ll,SL,277,20,"('ll', 'SL')"
비,NNG,278,20,"('비', 'NNG')"
춤,NNG,279,20,"('춤', 'NNG')"
바라보,VV,280,20,"('바라보', 'VV')"
만들,VV,281,20,"('만들', 'VV')"
이대로,MAG,282,20,"('이대로', 'MAG')"
Love,SL,283,20,"('Love', 'SL')"
ooh,SL,284,20,"('ooh', 'SL')"
대답,NNG,285,20,"('대답', 'NNG')"
night,SL,286,20,"('night', 'SL')"
나,VV,287,20,"('나', 'VV')"
넘,VV,288,20,"('넘', 'VV')"
오래,MAG,289,20,"('오래', 'MAG')"
의미,NNG,290,20,"('의미', 'NNG')"
인사,NNG,291,20,"('인사', 'NNG')"
WE,SL,292,20,"('WE', 'SL')"
GO,SL,293,20,"('GO', 'SL')"
Like,SL,294,19,"('Like', 'SL')"
into,SL,295,19,"('into', 'SL')"
Come,SL,296,19,"('Come', 'SL')"
어느새,MAG,297,19,"('어느새', 'MAG')"
deep,SL,298,19,"('deep', 'SL')"
안녕,NNG,299,19,"('안녕', 'NNG')"
걸음,NNG,300,19,"('걸음', 'NNG')"
OOV,-,301,10204,"('OOV', '-')"
